objectid,filename,title,creator,editor,publisher,date,subject,description,source,identifier,format,language,rights,rightsstatement
W.2005.1.432,https://weltylab.org/collection/W2005_1_432.jpg,Good Morning Midnight,Jean Rhys, ,,1974,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.443,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.433,https://weltylab.org/collection/W2005_1_433.jpg,Quartet,Jean Rhys, ,,1974,Fiction, Note: First published in London in 1928 under title: Postures.,Mississippi Department of Archives and History,W2005.1.444,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.434,https://weltylab.org/collection/W2005_1_434.jpg,Eva Trout of Changing Scenes,Elizabeth Bowen, ,,"1978, c1968.",Fiction, Note: Page 196 is dog-earred.,Mississippi Department of Archives and History,W2005.1.445,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.435,https://weltylab.org/collection/W2005_1_435.jpg,Eva Trout of Changing Scenes,Elizabeth Bowen, ,,"1978, c1968.",Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.446,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.436,https://weltylab.org/collection/W2005_1_436.jpg,The Hotel,Eilzabeth Bowen, ,,1980,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.447,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.437,https://weltylab.org/collection/W2005_1_437.jpg,The Heat of the Day,Elizabeth Bowen, ,,"1979, c1948.",Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.448,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.438,https://weltylab.org/collection/W2005_1_438.jpg,The Death of the Heart,Elizabeth Bowen, ,,"1979, c1966.",Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.449,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.439,https://weltylab.org/collection/W2005_1_439.jpg,To the North,Elizabeth Bowen, ,,1979,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.450,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.440,https://weltylab.org/collection/W2005_1_440.jpg,The Last September,Elizabeth Bowen, ,,"1979, c1952.",Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.451,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.441,https://weltylab.org/collection/W2005_1_441.jpg,A World of Love,Elizabeth Bowen, ,,"1978, c1954.",Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.452,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.442,https://weltylab.org/collection/W2005_1_442.jpg,The House in Paris,Elizabeth Bowen, ,,"1979, c1935 .",Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.453,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.443,https://weltylab.org/collection/W2005_1_443.jpg,"Mississippi Quarterly: The Journal of Southern Culture Special Issue William Faulkner 
42, no.  3 (Summer 1989)", ,Mississippi State University ,,1989,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.454,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.444,https://weltylab.org/collection/W2005_1_444.jpg,"The Journal of Mississippi History 50, no. 4 (November 1988)", ,Mississippi Historical Society ,,1988,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.455,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.445,https://weltylab.org/collection/W2005_1_445.jpg,Broderie Anglaise (Uncorrected proof),Violet Trefusis, ,,1985,Fiction, Note: Dog-earred: 17; 57,Mississippi Department of Archives and History,W2005.1.456,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.446,https://weltylab.org/collection/W2005_1_446.jpg,Letters of Leonard Woolf,Leonard Woolf,Frederic Spotts,,1989,Non-fiction," Inscription on front matter: ""For Eudora,/ with gratitude and love,/ John."" Note: ",Mississippi Department of Archives and History,W2005.1.457,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.447,https://weltylab.org/collection/W2005_1_447.jpg,People Will Talk,John Kobal, ,,"1985, c1986.",Non-fiction,"Inscription on front matter reads: ""For Eudora -/ Once again, happy birthday and love./ John/ April, 1990."" Note: Jacket has been taped in three places.",Mississippi Department of Archives and History,W2005.1.458,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.448,https://weltylab.org/collection/W2005_1_448.jpg,"Proceedings for the American Academy and Institute of Arts and Letters, Second Series, no. 37 (1986)", ,American Academy and Institute of Arts and Letters ,,1986,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.459,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.449,https://weltylab.org/collection/W2005_1_449.jpg,"The Southern Review 25, no. 4 (Autumn 1989)", ,Louisiana State University ,,1989,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.460,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.450,https://weltylab.org/collection/W2005_1_450.jpg,"The Journal of Mississippi History 38, no. 2 (May 1976)", ,Mississippi Historical Society ,,1976,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.461,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.451,https://weltylab.org/collection/W2005_1_451.jpg,"Antaeus, no. 6 (Spring 1988)", ,Daniel Halpern,,1988,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.462,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.452,https://weltylab.org/collection/W2005_1_452.jpg,The Hudson Review. (Autumn 1985), , ,,1985,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.463,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.453,https://weltylab.org/collection/W2005_1_453.jpg,"The Southern Review 25, no. 3 (Summer 1989)", ,Louisiana State University ,,1989,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.464,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.454,https://weltylab.org/collection/W2005_1_454.jpg,"The Southern Review 25, no. 2 (Spring 1989)", ,Louisiana State University ,,1989,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.465,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.455,https://weltylab.org/collection/W2005_1_455.jpg,"The Southern Review 23, no. 4 (Autumn 1987)", ,Louisiana State University ,,1987,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.466,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.456,https://weltylab.org/collection/W2005_1_456.jpg,Self-Portrait: Ceaselessly Into the Past,Ross Macdonald, ,,1981,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.467,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.457,https://weltylab.org/collection/W2005_1_457.jpg,A Common Room: Essays 1954-1987,Reynolds Price, ,,1987,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.468,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.458,https://weltylab.org/collection/W2005_1_458.jpg,A Careless Widow and Other Stories,V.S. Pritchett, ,,1989,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.469,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.459,https://weltylab.org/collection/W2005_1_459.jpg,Faulkner and the Craft of Fiction,Doreen; Ann J. Fowler; Abadie, ,,1989,Non-fiction," Note: Essays originally presented at the 1987 Faulkner and Yoknapatawpha Conference, the fourteenth in a series held at the Oxford campus of the University of Mississippi.",Mississippi Department of Archives and History,W2005.1.470,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.460,https://weltylab.org/collection/W2005_1_460.jpg,"Las Manzanas Doradas (The Golden Apples, Spanish)",Eudora Welty, ,,cop. 1991.,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.471,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.461,https://weltylab.org/collection/W2005_1_461.jpg,Various Miracles,Carol Shields, ,,"1989, c1985.",Fiction," Note: ""First published in Canada by Stoddart Publishing Co., Limited, 1985""",Mississippi Department of Archives and History,W2005.1.472,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.462,https://weltylab.org/collection/W2005_1_462.jpg,Treasures of Early Irish Art 1500B.C. to 1500 A.D., ,Metropolitan Museum of Art ,,1977,Art Exhibition, Note: ,Mississippi Department of Archives and History,W2005.1.473,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.463,https://weltylab.org/collection/W2005_1_463.jpg,Audubon: The Charleston Connection, ,The Charleston Museum ,,1986,Exhibirion," Note: ""From the Charleston Museum exhibition, 8 September-17 November 1985.""",Mississippi Department of Archives and History,W2005.1.474,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.464,https://weltylab.org/collection/W2005_1_464.jpg,Memories of the Heart (Ten Reminiscences),Talmadge Lamar Tenhet, ,,1987,Musical Score,"Inscription on inside of front cover reads, ""Feb. 20th, 1987, To Miss Welty, thank you for your inspiration. I hope I have captured the spirit of your work. Talmadge Lamar Tenhet."" Note: Dedicated to Eudora Welty.",Mississippi Department of Archives and History,W2005.1.475,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.465,https://weltylab.org/collection/W2005_1_465.jpg,The Last Elegant Bear,Dennis Kyte, ,,1983,Fiction,"Inscription in blue ink on title page reads: ""Especially for Eudora Welty - Dennis Kyte 1 Sept 84."" Note: ",Mississippi Department of Archives and History,W2005.1.476,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.466,https://weltylab.org/collection/W2005_1_466.jpg,Beauty and the Beast and Other Tales,Walter Crane, ,,1982,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.477,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.467,https://weltylab.org/collection/W2005_1_467.jpg,Aperture: New Southern Photography between Myth and Reality, ,Aperture Foundation ,,1989,Magazine, Note: ,Mississippi Department of Archives and History,W2005.1.478,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.468,https://weltylab.org/collection/W2005_1_468.jpg,This is Cornell, ,Cornell University ,,1984,Non-fiction,"This book is inscribed on the title page: ""Thank you for/ your visit to the/ campus store/ David Honock (?)""; the following signatures are inscribed on the title page: ""Shelly Compton/ Barbara Keshishoglon (?)/ Ron D. Cartright/ Leslie Vergason"" Note: Produced for Cornell University by the Office of University Publications.",Mississippi Department of Archives and History,W2005.1.479,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.469,https://weltylab.org/collection/W2005_1_469.jpg,"Our Voices, Our Land: Indian Peoples of Southwest ", ,Stephen Trimble,,1986,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.480,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.470,https://weltylab.org/collection/W2005_1_470.jpg,Le Vin A Travers Le Peinture,Herve Chayette, ,,1984,, Note: ,Mississippi Department of Archives and History,W2005.1.481,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.471,https://weltylab.org/collection/W2005_1_471.jpg,Dear Mili,Wilhelm Grimm,Ralph Manheim (translator) Manheim,,1988,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.482,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.472,https://weltylab.org/collection/W2005_1_472.jpg,Monet's Cathedral,Joachim Pissarro, ,,1990,Non-fiction,"The book is inscribed on the first title page: ""For Eudora, with love,/ Suzanne/ Christmas 1990"" Note: ",Mississippi Department of Archives and History,W2005.1.483,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.473,https://weltylab.org/collection/W2005_1_473.jpg,Edward Lear's Birds,Susan Hyman, ,,1980,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.484,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.474,https://weltylab.org/collection/W2005_1_474.jpg,A Long and Happy Life,Reynolds Price, ,,"1987, c1961.",Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.485,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.475,https://weltylab.org/collection/W2005_1_475.jpg,The Essential Wordsworth,William Wordsworth,Seamus Heaney (selected) Heaney,,1988,Poetry, Note: ,Mississippi Department of Archives and History,W2005.1.486,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.476,https://weltylab.org/collection/W2005_1_476.jpg,A Sportsman's Notebook,Ivan Turgenev, ,,1986,Fiction," Note: Translation of: Zapiski okhotnika. --Reprint. Originally published: New York : Viking Press, 1950.",Mississippi Department of Archives and History,W2005.1.487,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.477,https://weltylab.org/collection/W2005_1_477.jpg,"Reminiscences of Tolstoy, Chekhov, and Andreev",Maxim Gorky, ,,1934,Non-fiction," Note: Book is inscribed on front fly leaf : 
""4/5/50"" is in top left corner in black; ""7190 (inscribed in circle)/$2.25 (25 is underlined)/ x . c (c is underlined) - c - L"" in top right corner in black; ""William K. Rose"" in black at center of page; below Rose's name is ""(His gift to me.)/ Eudora Welty"" in blue pen.",Mississippi Department of Archives and History,W2005.1.488,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.478,https://weltylab.org/collection/W2005_1_478.jpg,In the Bend of the River,Tippy Pool Wilson, ,,1986,, Note: ,Mississippi Department of Archives and History,W2005.1.489,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.479,https://weltylab.org/collection/W2005_1_479.jpg,The Noise of Time: The Prose of Osip Mandelstam,Osip Mandelstam,Clarence Brown,,1986,,"Book is inscribed on title page: ""For Eudora Welty/ with much gratitude/ Clarence Brown/ Jackson/ 25 March 1992"" Note: ",Mississippi Department of Archives and History,W2005.1.490,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.480,https://weltylab.org/collection/W2005_1_480.jpg,The Art of Willa Cather, ,Bernice; Virginia Slote; Faulkner,,1974,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.491,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.481,https://weltylab.org/collection/W2005_1_481.jpg,The Collected Stories of Colette, Colette,Robert Phelps,,1983,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.492,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.482,https://weltylab.org/collection/W2005_1_482.jpg,Thomas Jefferson's Garden Book,Thomas Jefferson,American Philosophical Society ,,1944,Non-fiction,"Inscription located on front matter, reads: ""Dear Eudora, I know that Mr. Jefferson designed and built his home in hopes of having a guest as lovely as you.  To see Monticello with you and have you in our home was one of the happiest times we have ever had.  Mississippi and Monticello made a perfect union on April 13, 1988 - your birthday and Mr. Jefferson's.  Our love and affection we send to you, Lou and Dan."" Note: ",Mississippi Department of Archives and History,W2005.1.493,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.483,https://weltylab.org/collection/W2005_1_483.jpg,Utamaro: Songs of the Garden,Utamaro Kitagawa,Metropolitan Museum of Art ,,1984,Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.494,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.484,https://weltylab.org/collection/W2005_1_484.jpg,Short Story Masterpieces, ,Robert Penn; Albert Warrenl Erksine,,1982,Fiction,"Book is inscribed on title page: ""Dear Eudora, at some time/ since 1954 you must have seen/ this.  I had nothing/ to do with the 'blurb.'/ Love, Albert"" Note: ",Mississippi Department of Archives and History,W2005.1.495,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.485,https://weltylab.org/collection/W2005_1_485.jpg,Bowen's Court,Elizabeth Bowen, ,,"1979, c1964.",Non-fiction," Note: Book is annotated throughout.  Extensive handwritten notes and lists of page numbers on last blank leaf, rear free end paper, and inside rear cover.  Notes are in pencil, black ink, and red ink.",Mississippi Department of Archives and History,W2005.1.496,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.486,https://weltylab.org/collection/W2005_1_486.jpg,Come Hither: A Collection of Rhymes and Poems For the Young of All ages,Walter de la Mare, ,,1957,Poetry, Note: ,Mississippi Department of Archives and History,W2005.1.497,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.487,https://weltylab.org/collection/W2005_1_487.jpg,On the Nature of the Universe,Lucretius , ,,"1951, 1986 printing.",Poetry, Note: ,Mississippi Department of Archives and History,W2005.1.498,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.488,https://weltylab.org/collection/W2005_1_488.jpg,Chekhov: The Early Stories 1883-1888,Anton Chekhov,Chosen by Patrick Miles and Harvey Pitcher ,,"[1983], c1982.",Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.499,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.489,https://weltylab.org/collection/W2005_1_489.jpg,"Cotton Boll/The Atlanta Review 1, no. 1 ", ,Mary Hollingsworth,,1985,Periodical, Note: ,Mississippi Department of Archives and History,W2005.1.500,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.490,https://weltylab.org/collection/W2005_1_490.jpg,The Outermost Dream: Essays and Reviews,William Maxwell, ,,1989,Non-fiction,"Inscribed on front matter: ""April 1989, For Eudora with my love, Bill"" Note: ",Mississippi Department of Archives and History,W2005.1.501,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.491,https://weltylab.org/collection/W2005_1_491.jpg,A Visitation of Spirits,Randall Kenan, ,,1989,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.502,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.492,https://weltylab.org/collection/W2005_1_492.jpg,Good Behavior,Molly Keane, ,,"1983, c1981.",Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.503,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.493,https://weltylab.org/collection/W2005_1_493.jpg,The Go-Away Bird and Other Stories,Muriel Spark, ,,1960 [c1958],Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.504,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.494,https://weltylab.org/collection/W2005_1_494.jpg,Two Worlds and Their Ways,I. Compton-Burnett, ,,1949,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.505,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.495,https://weltylab.org/collection/W2005_1_495.jpg,Edward Lear: Landscape Painter and Nonsense Poet,Angus Davidson, ,,"[1968, c1938]",Non-fiction,"Inscription on front matter reads ""Eudora Welty.""  ""114"" is written on back matter in blue pen. Note: ",Mississippi Department of Archives and History,W2005.1.506,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.496,https://weltylab.org/collection/W2005_1_496.jpg,The Cautious Heart,William Sansom, ,,1958,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.507,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.497,https://weltylab.org/collection/W2005_1_497.jpg,Pictures and Conversations (Advance Proof),Elizabeth Bowen, ,,1974,Non-fiction,Book is inscribed: passages are marked throughout; last page has handwritten list of pages and short notes. Note: ,Mississippi Department of Archives and History,W2005.1.508,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.498,https://weltylab.org/collection/W2005_1_498.jpg,Coleridge: Complete Verse Select Prose and Letters,Samuel Taylor Coleridge,Stephen Potter,,1950,Anthology,"Inscribed on front free end paper: ""Eudora Welty"" Note: ",Mississippi Department of Archives and History,W2005.1.509,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.499,https://weltylab.org/collection/W2005_1_499.jpg,The Collected Poems of W.B. Yeats,W.B. Yeats, ,,"1948, c1940.",Poetry,"Book is inscribed on front free end paper: ""Eudora Welty"" Note: There is a sticker for ""The Holliday Bookshop"" attached to inside of rear cover.",Mississippi Department of Archives and History,W2005.1.510,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.500,https://weltylab.org/collection/W2005_1_500.jpg,The Net to Catch War,Mary Mian, ,,1975,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.511,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.501,https://weltylab.org/collection/W2005_1_501.jpg,A Piece of My Heart,Richard Ford, ,,"1985, c1976.",Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.512,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.502,https://weltylab.org/collection/W2005_1_502.jpg,The Myth Makers,V.S. Pritchett, ,,1979,Non-fiction,"Book is inscribed on the front matter: ""Eudora Welty."" Note: ",Mississippi Department of Archives and History,W2005.1.513,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.503,https://weltylab.org/collection/W2005_1_503.jpg,Palladian,Elizabeth Taylor, ,,1969,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.514,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.504,https://weltylab.org/collection/W2005_1_504.jpg,"Three Famous Murder Novels: Before the Fact, Trent's Last Case, The House of the Arrow", ,Bennett A. Cerf,,1945,Fiction,"Inscription on front matter reads: ""Eudora Welty."" Note: ",Mississippi Department of Archives and History,W2005.1.515,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.505,https://weltylab.org/collection/W2005_1_505.jpg,The Man on the Pier,Julia Strachey, ,,1951,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.516,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.506,https://weltylab.org/collection/W2005_1_506.jpg,Northanger Abbey: The Works of Jane Austen,Jane Austen, ,,1923,Fiction,"Book is inscribed on front free end paper in blue ink: ""To Miss Welty,/ With much love,/ Woody and Penny/ Oxford, August 1979."" Note: ",Mississippi Department of Archives and History,W2005.1.517,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.507,https://weltylab.org/collection/W2005_1_507.jpg,"South: Aspects and Images from Corsica, Italy, and Southern France",Wiliam Sansom, ,,1950,Non-fiction, Note: Bottom corner folded on page 121.,Mississippi Department of Archives and History,W2005.1.518,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.508,https://weltylab.org/collection/W2005_1_508.jpg,Kiss Kiss,Roald Dahl, ,,1960 [c1959],Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.519,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.509,https://weltylab.org/collection/W2005_1_509.jpg,Violet Trefusis: A Biography,Philippe; John Julian; Philips, ,,"1985, c1976",Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.520,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.510,https://weltylab.org/collection/W2005_1_510.jpg,Tar Baby,Toni Morrision, ,,1981,Fiction,"Book is inscribed on front matter:  ""Dear Eudora - My very best wishes, Toni."" Note: ",Mississippi Department of Archives and History,W2005.1.521,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.511,https://weltylab.org/collection/W2005_1_511.jpg,The Girls of Slender Means,Muriel Spark, ,,1963,Fiction," Note:  ""CIO"" is handwritten in pencil at top right on back of jacket. ",Mississippi Department of Archives and History,W2005.1.522,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.512,https://weltylab.org/collection/W2005_1_512.jpg,The Collected Stories of Eilzabeth Bowen,Angus Bowen, ,,1981,Fiction, Note: Introduction by Angus Wilson,Mississippi Department of Archives and History,W2005.1.523,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.513,https://weltylab.org/collection/W2005_1_513.jpg,The Face of Innocence,William Sansom, ,,1951,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.524,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.514,https://weltylab.org/collection/W2005_1_514.jpg,Two by Muriel Spark: The Ballad of Peckham Rye and The Bachelors,Muriel Spark,Joan Kahn,,1964,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.525,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.515,https://weltylab.org/collection/W2005_1_515.jpg,Chilling and Killing, , ,,1978,Fiction,"Book is inscribed on front matter: ""For Eudora from Joan  - (sketch of person holding ski poles on slope) - ski pole weather!  Hope No. Dakota is hot (underlined) and sunny."" Note: ",Mississippi Department of Archives and History,W2005.1.526,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.516,https://weltylab.org/collection/W2005_1_516.jpg,Green Mansions: A Romance of the Tropical Forest,W.H. Hudson, ,,1920,Fiction,"Book is inscribed on first page: ""J. Schwab/1928"" Note: ",Mississippi Department of Archives and History,W2005.1.527,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.517,https://weltylab.org/collection/W2005_1_517.jpg,. . . In the Highlands Since Time Immemorial,Joanna Ostrow, ,,1970,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.528,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.518,https://weltylab.org/collection/W2005_1_518.jpg,A Wreath of Roses,Elizabeth Taylor, ,,1949,Fiction,"Inside of front cover is inscribed: ""EA 150"" (""50"" appears smaller than ""1"" and is raised, presumably means ""$1.50""). Inside of back cover is inscribed ""3137."" Note: ",Mississippi Department of Archives and History,W2005.1.529,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.519,https://weltylab.org/collection/W2005_1_519.jpg,The New Oxford Book of English Light Verse, ,Kingsley Amis,,1974,Poetry, Note: ,Mississippi Department of Archives and History,W2005.1.530,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
